id,plugin,channels,irlen_s,spl,measure,screenshot,X,time,input_length,inverse_ratio
1,new,16,0.1,64,1,Screenshot (42).png,19.8,15.15,300.0,0.0505
1,new,16,0.1,64,2,Screenshot (43).png,19.7,15.23,300.0,0.05076666666666667
1,new,16,0.1,64,3,Screenshot (44).png,19.8,15.15,300.0,0.0505
1,old,16,0.1,64,1,Screenshot (45).png,14.2,21.13,300.0,0.07043333333333333
1,old,16,0.1,64,2,Screenshot (46).png,14.3,20.98,300.0,0.06993333333333333
1,old,16,0.1,64,3,Screenshot (47).png,14.2,21.13,300.0,0.07043333333333333
2,new,16,0.2,64,1,Screenshot (48).png,15.9,18.87,300.0,0.0629
2,new,16,0.2,64,2,Screenshot (49).png,16.1,18.63,300.0,0.062099999999999995
2,new,16,0.2,64,3,Screenshot (50).png,15.9,18.87,300.0,0.0629
2,old,16,0.2,64,1,Screenshot (51).png,11.3,26.55,300.0,0.08850000000000001
2,old,16,0.2,64,2,Screenshot (52).png,11.2,26.79,300.0,0.08929999999999999
2,old,16,0.2,64,3,Screenshot (53).png,11.2,26.79,300.0,0.08929999999999999
3,new,16,0.5,64,1,Screenshot (54).png,12.3,24.39,300.0,0.0813
3,new,16,0.5,64,2,Screenshot (55).png,12.3,24.39,300.0,0.0813
3,new,16,0.5,64,3,Screenshot (56).png,12.2,24.59,300.0,0.08196666666666666
3,old,16,0.5,64,1,Screenshot (57).png,6.4,46.88,300.0,0.15626666666666666
3,old,16,0.5,64,2,Screenshot (58).png,6.4,46.88,300.0,0.15626666666666666
3,old,16,0.5,64,3,Screenshot (59).png,6.4,46.88,300.0,0.15626666666666666
4,new,16,1.0,64,1,Screenshot (60).png,8.5,35.29,300.0,0.11763333333333333
4,new,16,1.0,64,2,Screenshot (61).png,7.6,39.47,300.0,0.13156666666666667
4,new,16,1.0,64,3,Screenshot (62).png,6.7,44.78,300.0,0.14926666666666666
4,old,16,1.0,64,1,Screenshot (63).png,3.6,83.33,300.0,0.27776666666666666
4,old,16,1.0,64,2,Screenshot (64).png,3.6,83.33,300.0,0.27776666666666666
4,old,16,1.0,64,3,Screenshot (65).png,3.6,83.33,300.0,0.27776666666666666
5,new,16,2.0,64,1,Screenshot (66).png,4.7,63.83,300.0,0.21276666666666666
5,new,16,2.0,64,2,Screenshot (67).png,4.4,68.18,300.0,0.2272666666666667
5,new,16,2.0,64,3,Screenshot (68).png,4.7,63.83,300.0,0.21276666666666666
5,old,16,2.0,64,1,Screenshot (69).png,2.0,147.0,300.0,0.49
5,old,16,2.0,64,2,Screenshot (70).png,2.0,148.0,300.0,0.49333333333333335
