id,plugin,channels,irlen_s,spl,X_mean,X_std,inverse_ratio_mean,inverse_ratio_std
1,new,16,0.1,1024,36.5,0.28284271247462306,0.02739166666666667,0.00020034692133618604
1,old,16,0.1,1024,24.3,0.9899494936611655,0.041183333333333336,0.0016734860488081646
2,new,16,0.2,1024,32.3,0.2828427124746155,0.030966666666666667,0.0002828427124746173
2,old,16,0.2,1024,18.8,0.0,0.053200000000000004,0.0
3,new,16,0.5,1024,23.95,0.3535533905932738,0.04176666666666667,0.0006128258770283424
3,old,16,0.5,1024,11.3,0.14142135623730964,0.08851666666666666,0.0011078006238589202
4,new,16,1.0,1024,15.25,0.07071067811865576,0.06558333333333333,0.0003064129385141614
4,old,16,1.0,1024,6.8,0.0,0.14706666666666665,0.0
5,new,16,2.0,1024,6.85,0.07071067811865545,0.146,0.0015084944665312923
5,old,16,2.0,1024,3.6500000000000004,0.07071067811865497,0.27408333333333335,0.00530330085889915
6,new,16,5.0,1024,1.6,0.0,0.625,0.0
6,old,16,5.0,1024,1.5,0.0,0.6666666666666666,0.0
7,new,16,10.0,1024,0.4,0.0,2.2333333333333334,0.0
7,old,16,10.0,1024,0.7,0.0,1.4286666666666668,0.0
8,new,36,0.1,1024,17.15,0.2121320343559635,0.05831666666666666,0.0007306770072260971
8,old,36,0.1,1024,12.5,0.0,0.08,0.0
9,new,36,0.2,1024,15.25,0.07071067811865576,0.06558333333333333,0.0003064129385141712
9,old,36,0.2,1024,9.2,0.0,0.1087,0.0
10,new,36,0.5,1024,10.7,0.0,0.09346666666666667,0.0
10,old,36,0.5,1024,5.15,0.07071067811865482,0.19418333333333332,0.0026634355424693204
11,new,36,1.0,1024,6.0,0.141421356237309,0.16671666666666668,0.003936227748605142
11,old,36,1.0,1024,3.05,0.07071067811865497,0.32791666666666663,0.0076603234628542256
12,new,36,2.0,1024,2.7,0.0,0.3703333333333333,0.0
12,old,36,2.0,1024,1.6,0.0,0.625,0.0
13,new,36,5.0,1024,0.7,0.0,1.4286666666666668,0.0
13,old,36,5.0,1024,0.7,0.0,1.4286666666666668,0.0
14,new,36,10.0,1024,0.2,0.0,5.233333333333333,0.0
14,old,36,10.0,1024,0.3,0.0,3.033333333333333,0.0
15,new,64,0.1,1024,8.5,0.141421356237309,0.11763333333333334,0.0019327585352432182
15,old,64,0.1,1024,6.75,0.0707106781186545,0.14816666666666667,0.0015556349186104002
16,new,64,0.2,1024,7.6,0.0,0.13156666666666667,0.0
16,old,64,0.2,1024,5.0,0.0,0.2,0.0
17,new,64,0.5,1024,5.25,0.0707106781186545,0.1905,0.0025927248643506633
17,old,64,0.5,1024,2.9,0.0,0.3448333333333334,0.0
18,new,64,1.0,1024,3.0,0.0,0.3333333333333333,0.0
18,old,64,1.0,1024,1.7,0.0,0.5881666666666666,0.0
19,new,64,2.0,1024,1.4,0.0,0.7143333333333334,0.0
19,old,64,2.0,1024,0.9,0.0,1.111,0.0
20,new,64,5.0,1024,0.4,0.0,2.7,0.0
20,old,64,5.0,1024,0.4,0.0,2.566666666666667,0.0
21,new,64,10.0,1024,0.1,0.0,9.366666666666667,0.0
21,old,64,10.0,1024,0.2,0.0,5.533333333333333,0.0
