id,plugin,channels,irlen_s,spl,X_mean,X_std,inverse_ratio_mean,inverse_ratio_std
1,new,16,0.1,64,19.766666666666666,0.05773502691896366,0.050588888888888885,0.00015396007178389927
1,old,16,0.1,64,14.233333333333334,0.05773502691896327,0.07026666666666666,0.00028867513459481214
2,new,16,0.2,64,15.966666666666667,0.1154700538379259,0.06263333333333333,0.00046188021535170236
2,old,16,0.2,64,11.233333333333334,0.05773502691896327,0.08903333333333334,0.0004618802153516838
3,new,16,0.5,64,12.266666666666666,0.05773502691896365,0.08152222222222222,0.00038490017945974815
3,old,16,0.5,64,6.400000000000001,0.0,0.15626666666666666,0.0
4,new,16,1.0,64,7.6000000000000005,0.9000000000000006,0.1328222222222222,0.01585399821052278
4,old,16,1.0,64,3.6,0.0,0.27776666666666666,0.0
5,new,16,2.0,64,4.6000000000000005,0.1732050807568877,0.21760000000000002,0.008371578903249596
5,old,16,2.0,64,2.0,0.0,0.49333333333333335,0.0033333333333333062
6,new,16,5.0,64,1.3,0.0,0.7566666666666667,0.012018504251546717
6,old,16,5.0,64,0.8000000000000002,0.0,1.21,0.034801021696368534
7,new,16,10.0,64,0.4000000000000001,0.0,2.522222222222222,0.01924500897298746
7,old,16,10.0,64,0.4000000000000001,0.0,2.766666666666667,0.0
8,new,36,0.1,64,10.733333333333334,0.15275252316519572,0.09317777777777779,0.00132385520076503
8,old,36,0.1,64,8.766666666666667,0.05773502691896327,0.11406666666666666,0.0007505553499464959
9,new,36,0.2,64,9.0,0.10000000000000009,0.11112222222222222,0.0012334834743447103
9,old,36,0.2,64,6.233333333333333,0.05773502691896237,0.16044444444444445,0.0014818656909200364
10,new,36,0.5,64,6.233333333333333,0.2081665999466132,0.16055555555555556,0.005434185345603357
10,old,36,0.5,64,3.0,0.0,0.3333333333333333,0.0
11,new,36,1.0,64,4.2,0.0,0.23816666666666667,0.0
11,old,36,1.0,64,1.8,0.0,0.5555,0.0
12,new,36,2.0,64,2.1666666666666665,0.05773502691896269,0.46188888888888885,0.012509255832441885
12,old,36,2.0,64,0.9,0.0,1.111,0.0
13,new,36,5.0,64,0.6,0.0,1.6666666666666667,0.0
13,old,36,5.0,64,0.4000000000000001,0.0,2.522222222222222,0.03849001794597501
14,new,36,10.0,64,0.20000000000000004,0.0,5.544444444444444,0.03849001794597492
14,old,36,10.0,64,0.20000000000000004,0.0,5.533333333333334,0.0
15,new,64,0.1,64,7.266666666666667,0.05773502691896237,0.13761111111111113,0.0010584754935143055
15,old,64,0.1,64,5.2,0.0,0.19233333333333333,0.0
16,new,64,0.2,64,6.2,0.09999999999999987,0.16132222222222223,0.0026000712240956637
16,old,64,0.2,64,3.6,0.0,0.2778333333333334,0.0
17,new,64,0.5,64,4.033333333333333,0.05773502691896237,0.24794444444444444,0.0035603266600026866
17,old,64,0.5,64,1.8,0.0,0.5555,0.0
18,new,64,1.0,64,2.3666666666666667,0.057735026918962824,0.4227222222222222,0.010488529890278197
18,old,64,1.0,64,1.0,0.0,1.0,0.0
19,new,64,2.0,64,1.1666666666666667,0.057735026918962595,0.8585555555555556,0.04368617036868163
19,old,64,2.0,64,0.5,0.0,1.8222222222222222,0.01924500897298746
20,new,64,5.0,64,0.3,0.0,3.1888888888888887,0.0509175077217317
20,old,64,5.0,64,0.20000000000000004,0.0,4.433333333333334,0.033333333333333215
21,new,64,10.0,64,0.10000000000000002,0.0,10.466666666666667,0.05773502691896288
21,old,64,10.0,64,0.10000000000000002,0.0,11.422222222222222,0.15396007178389967
