id,plugin,channels,irlen_s,spl,measure,screenshot,X,time,input_length,inverse_ratio
1,new,16,0.1,256,1,Screenshot (252).png,33.9,17.7,600.0,0.0295
1,new,16,0.1,256,2,Screenshot (253).png,33.9,17.7,600.0,0.0295
1,old,16,0.1,256,1,Screenshot (254).png,18.8,31.91,600.0,0.05318333333333333
1,old,16,0.1,256,2,Screenshot (255).png,18.9,31.75,600.0,0.05291666666666667
2,new,16,0.2,256,1,Screenshot (256).png,30.0,10.0,300.0,0.03333333333333333
2,new,16,0.2,256,2,Screenshot (257).png,30.1,9.97,300.0,0.03323333333333334
2,old,16,0.2,256,1,Screenshot (258).png,13.7,21.9,300.0,0.073
2,old,16,0.2,256,2,Screenshot (259).png,13.7,21.9,300.0,0.073
3,new,16,0.5,256,1,Screenshot (260).png,22.7,13.22,300.0,0.04406666666666667
3,new,16,0.5,256,2,Screenshot (261).png,23.0,13.04,300.0,0.04346666666666666
3,old,16,0.5,256,1,Screenshot (262).png,7.2,41.67,300.0,0.1389
3,old,16,0.5,256,2,Screenshot (263).png,7.2,41.67,300.0,0.1389
4,new,16,1.0,256,1,Screenshot (264).png,14.6,20.55,300.0,0.0685
4,new,16,1.0,256,2,Screenshot (265).png,14.6,20.55,300.0,0.0685
4,old,16,1.0,256,1,Screenshot (266).png,3.9,15.38,60.0,0.25633333333333336
4,old,16,1.0,256,2,Screenshot (267).png,3.9,15.38,60.0,0.25633333333333336
5,new,16,2.0,256,1,Screenshot (268).png,6.7,44.78,300.0,0.14926666666666666
5,new,16,2.0,256,2,Screenshot (269).png,6.4,46.88,300.0,0.15626666666666666
5,old,16,2.0,256,1,Screenshot (270).png,2.2,27.27,60.0,0.4545
5,old,16,2.0,256,2,Screenshot (271).png,2.1,28.57,60.0,0.4761666666666667
6,new,16,5.0,256,1,Screenshot (272).png,1.6,37.5,60.0,0.625
6,new,16,5.0,256,2,Screenshot (273).png,1.6,37.5,60.0,0.625
6,old,16,5.0,256,1,Screenshot (274).png,0.9,33.33,30.0,1.111
6,old,16,5.0,256,2,Screenshot (275).png,0.9,33.33,30.0,1.111
7,new,16,10.0,256,1,Screenshot (276).png,0.4,67.0,30.0,2.2333333333333334
7,new,16,10.0,256,2,Screenshot (277).png,0.4,68.0,30.0,2.2666666666666666
7,old,16,10.0,256,1,Screenshot (278).png,0.4,76.0,30.0,2.533333333333333
7,old,16,10.0,256,2,Screenshot (279).png,0.4,77.0,30.0,2.566666666666667
8,new,36,0.1,256,1,Screenshot (280).png,17.2,17.44,300.0,0.058133333333333335
8,new,36,0.1,256,2,Screenshot (281).png,17.3,17.34,300.0,0.0578
8,old,36,0.1,256,1,Screenshot (282).png,9.9,30.3,300.0,0.101
8,old,36,0.1,256,2,Screenshot (283).png,10.0,30.0,300.0,0.1
9,new,36,0.2,256,1,Screenshot (284).png,15.1,19.87,300.0,0.06623333333333334
9,new,36,0.2,256,2,Screenshot (285).png,15.2,19.74,300.0,0.0658
9,old,36,0.2,256,1,Screenshot (286).png,6.8,44.12,300.0,0.14706666666666665
9,old,36,0.2,256,2,Screenshot (287).png,6.8,44.12,300.0,0.14706666666666665
10,new,36,0.5,256,1,Screenshot (288).png,10.6,28.3,300.0,0.09433333333333334
10,new,36,0.5,256,2,Screenshot (289).png,10.5,28.57,300.0,0.09523333333333334
10,old,36,0.5,256,1,Screenshot (290).png,3.2,18.75,60.0,0.3125
10,old,36,0.5,256,2,Screenshot (291).png,3.2,18.75,60.0,0.3125
11,new,36,1.0,256,1,Screenshot (292).png,6.1,49.18,300.0,0.16393333333333332
11,new,36,1.0,256,2,Screenshot (293).png,6.0,50.0,300.0,0.16666666666666666
11,old,36,1.0,256,1,Screenshot (294).png,1.7,35.29,60.0,0.5881666666666666
11,old,36,1.0,256,2,Screenshot (295).png,1.8,33.33,60.0,0.5555
12,new,36,2.0,256,1,Screenshot (296).png,2.6,11.54,30.0,0.38466666666666666
12,new,36,2.0,256,2,Screenshot (297).png,2.8,21.43,60.0,0.3571666666666667
12,old,36,2.0,256,1,Screenshot (298).png,0.9,33.33,30.0,1.111
12,old,36,2.0,256,2,Screenshot (299).png,0.9,33.33,30.0,1.111
13,new,36,5.0,256,1,Screenshot (300).png,0.7,42.86,30.0,1.4286666666666668
13,new,36,5.0,256,2,Screenshot (301).png,0.7,42.86,30.0,1.4286666666666668
13,old,36,5.0,256,1,Screenshot (302).png,0.4,76.0,30.0,2.533333333333333
13,old,36,5.0,256,2,Screenshot (303).png,0.4,76.0,30.0,2.533333333333333
14,new,36,10.0,256,1,Screenshot (304).png,0.2,153.0,30.0,5.1
