id,plugin,channels,irlen_s,spl,measure,screenshot,X,time,input_length,inverse_ratio
14,new,36,10.0,256,2,Screenshot (305).png,0.2,153.0,30.0,5.1
14,old,36,10.0,256,1,Screenshot (306).png,0.2,171.0,30.0,5.7
14,old,36,10.0,256,2,Screenshot (307).png,0.2,171.0,30.0,5.7
15,new,64,0.1,256,1,Screenshot (308).png,9.1,6.59,60.0,0.10983333333333332
15,new,64,0.1,256,2,Screenshot (309).png,9.2,6.52,60.0,0.10866666666666666
15,old,64,0.1,256,1,Screenshot (310).png,5.7,52.63,300.0,0.17543333333333333
15,old,64,0.1,256,2,Screenshot (311).png,5.7,52.63,300.0,0.17543333333333333
16,new,64,0.2,256,1,Screenshot (312).png,8.3,36.14,300.0,0.12046666666666667
16,new,64,0.2,256,2,Screenshot (313).png,8.4,35.71,300.0,0.11903333333333334
16,old,64,0.2,256,1,Screenshot (314).png,3.8,78.95,300.0,0.26316666666666666
16,old,64,0.2,256,2,Screenshot (315).png,3.7,16.22,60.0,0.2703333333333333
17,new,64,0.5,256,1,Screenshot (316).png,5.4,11.11,60.0,0.18516666666666665
17,new,64,0.5,256,2,Screenshot (317).png,5.3,11.32,60.0,0.18866666666666668
17,old,64,0.5,256,1,Screenshot (318).png,1.9,31.58,60.0,0.5263333333333333
17,old,64,0.5,256,2,Screenshot (319).png,1.9,31.58,60.0,0.5263333333333333
18,new,64,1.0,256,1,Screenshot (320).png,3.1,19.35,60.0,0.3225
18,new,64,1.0,256,2,Screenshot (321).png,3.1,19.35,60.0,0.3225
18,old,64,1.0,256,1,Screenshot (322).png,1.0,60.0,60.0,1.0
18,old,64,1.0,256,2,Screenshot (323).png,1.0,60.0,60.0,1.0
19,new,64,2.0,256,1,Screenshot (324).png,1.4,21.43,30.0,0.7143333333333334
19,new,64,2.0,256,2,Screenshot (325).png,1.3,23.08,30.0,0.7693333333333333
19,old,64,2.0,256,1,Screenshot (326).png,0.5,55.0,30.0,1.8333333333333333
19,old,64,2.0,256,2,Screenshot (327).png,0.5,55.0,30.0,1.8333333333333333
20,new,64,5.0,256,1,Screenshot (328).png,0.4,81.0,30.0,2.7
20,new,64,5.0,256,2,Screenshot (329).png,0.4,80.0,30.0,2.6666666666666665
20,old,64,5.0,256,1,Screenshot (330).png,0.2,132.0,30.0,4.4
20,old,64,5.0,256,2,Screenshot (331).png,0.2,132.0,30.0,4.4
21,new,64,10.0,256,1,Screenshot (332).png,0.1,295.0,30.0,9.833333333333334
21,new,64,10.0,256,2,Screenshot (333).png,0.1,295.0,30.0,9.833333333333334
21,old,64,10.0,256,1,Screenshot (334).png,0.1,336.0,30.0,11.2
21,old,64,10.0,256,2,Screenshot (335).png,0.1,336.0,30.0,11.2
