id,plugin,channels,irlen,spl,measure,file,time,input_length,X,inverse_ratio
1,new,16,2s,1024,1,.\1024spl\spartaMcfx-IR_1x16ch_96000samples_-1Hz_3pos_LFO-16.40---2024-06-19 10_57_51.txt,2:38,1000.0,6.329113924050633,0.158
1,new,16,2s,1024,2,.\1024spl\spartaMcfx-IR_1x16ch_96000samples_-1Hz_3pos_LFO-16.40---2024-06-19 11_01_53.txt,2:37,1000.0,6.369426751592357,0.157
1,new,16,2s,1024,3,.\1024spl\spartaMcfx-IR_1x16ch_96000samples_-1Hz_3pos_LFO-16.40---2024-06-19 11_07_05.txt,2:40,1000.0,6.25,0.16
1,old,16,2s,1024,1,.\1024spl\OLDsparta-IR_1x16ch_96000samples_-1Hz_3pos_LFO-16.40---2024-06-17 17_21_04.txt,5:02,1000.0,3.3112582781456954,0.302
1,old,16,2s,1024,2,.\1024spl\OLDsparta-IR_1x16ch_96000samples_-1Hz_3pos_LFO-16.40---2024-06-17 17_44_07.txt,4:58,1000.0,3.3557046979865772,0.298
1,old,16,2s,1024,3,.\1024spl\OLDsparta-IR_1x16ch_96000samples_-1Hz_3pos_LFO-16.40---2024-06-18 10_38_04.txt,4:51,1000.0,3.4364261168384878,0.291
1,old,16,2s,1024,4,.\1024spl\OLDsparta-IR_1x16ch_96000samples_-1Hz_3pos_LFO-16.40---2024-06-19 12_33_36.txt,4:55,1000.0,3.389830508474576,0.295
2,new,25,300ms,1024,1,.\1024spl\spartaMcfx-IR_1x25ch_14400samples_-1Hz_3pos_LFO-16.40---2024-06-17 15_16_21.txt,1:02,1000.0,16.129032258064516,0.062
2,new,25,300ms,1024,2,.\1024spl\spartaMcfx-IR_1x25ch_14400samples_-1Hz_3pos_LFO-16.40---2024-06-17 15_51_37.txt,1:03,1000.0,15.873015873015873,0.063
2,new,25,300ms,1024,3,.\1024spl\spartaMcfx-IR_1x25ch_14400samples_-1Hz_3pos_LFO-16.40---2024-06-17 15_52_51.txt,1:05,1000.0,15.384615384615385,0.065
2,old,25,300ms,1024,1,.\1024spl\OLDsparta-IR_1x25ch_14400samples_-1Hz_3pos_LFO-16.40---2024-06-17 15_21_11.txt,1:53,1000.0,8.849557522123893,0.113
2,old,25,300ms,1024,2,.\1024spl\OLDsparta-IR_1x25ch_14400samples_-1Hz_3pos_LFO-16.40---2024-06-17 16_53_25.txt,1:57,1000.0,8.547008547008547,0.117
2,old,25,300ms,1024,3,.\1024spl\OLDsparta-IR_1x25ch_14400samples_-1Hz_3pos_LFO-16.40---2024-06-17 16_55_32.txt,1:58,1000.0,8.474576271186441,0.118
